id,date_listed,ortsteil,bezirk,kiez_premium,lat,lon,property_type,rooms,area_m2,floor,total_floors,building_era,energy_class,position,condition,has_lift,has_balcony,furnished,transit_station,transit_line,transit_distance_min,to_brandenburg_gate_km,kaltmiete_eur_monthly,nebenkosten_eur_monthly,warmmiete_eur_monthly,rent_per_m2_kalt_eur,rent_includes_warmmiete,kaution_months,warmmiete_eur_monthly_usd,year,month
R006317,5/14/2023,Wittenau,Reinickendorf,low,52.58677,13.34663,3_room,3,82,3,6,post_war_1949_1990,G,hinterhaus,kernsaniert,FALSE,TRUE,FALSE,Wittenau U,U8,0,8.11,601,373,974,7.33,TRUE,3,1052,2023,5
R006318,10/27/2024,Tiergarten,Mitte,high,52.51377,13.35681,4_room,4,85,1,4,post_war_1949_1990,E,vorderhaus,modernisiert,FALSE,FALSE,FALSE,Spittelmarkt,U2,45,1.44,1719,264,1983,20.23,FALSE,3,2142,2024,10
R006319,2/14/2026,Lichterfelde,Steglitz-Zehlendorf,medium,52.42782,13.33106,4_room,4,99.9,1,5,post_war_1949_1990,C,seitenflügel,modernisiert,FALSE,TRUE,FALSE,Lichterfelde West,S1,17,10.33,1569,379,1948,15.7,FALSE,3,2103,2026,2
R006320,9/21/2024,Grünau,Treptow-Köpenick,medium,52.40795,13.57884,4_room,4,116,0,5,post_war_1949_1990,D,seitenflügel,kernsaniert,TRUE,TRUE,TRUE,Blaschkoallee,U7,115,18.19,982,458,1440,8.47,FALSE,3,1556,2024,9
R006321,5/16/2022,Dahlem,Steglitz-Zehlendorf,high,52.45566,13.2888,2_room,2,44.5,0,6,post_war_1949_1990,D,vorderhaus,renovierungsbedürftig,TRUE,TRUE,FALSE,Sundgauer Straße,S1,26,9.04,690,167,857,15.53,FALSE,2,926,2022,5
R006322,3/28/2021,Märkisches Viertel,Reinickendorf,low,52.5886,13.36559,3_room,3,63.4,3,3,post_war_1949_1990,C,vorderhaus,modernisiert,FALSE,FALSE,FALSE,Pankow U2,U2,62,8.08,425,224,648,6.69,TRUE,2,700,2021,3
R006323,1/24/2023,Neukölln (Ort),Neukölln,medium,52.47975,13.45115,3_room,3,87.9,6,6,modern_1990_2010,B,vorderhaus,renovierungsbedürftig,TRUE,FALSE,TRUE,Bundesplatz,S Ringbahn,93,6.42,1239,416,1655,14.1,TRUE,3,1787,2023,1
R006324,4/13/2024,Friedenau,Tempelhof-Schöneberg,high,52.481,13.32169,2_room,2,55.1,3,3,new_post_2010,A_plus,vorderhaus,kernsaniert,FALSE,TRUE,TRUE,Konstanzer Straße,U7,34,5.46,1743,171,1914,31.62,TRUE,3,2067,2024,4
R006325,11/2/2023,Tempelhof,Tempelhof-Schöneberg,medium,52.45845,13.38695,2_room,2,57.2,2,5,post_war_1949_1990,F,vorderhaus,saniert,TRUE,TRUE,FALSE,Kurfürstendamm,U1,71,6.46,578,284,862,10.1,FALSE,3,931,2023,11
R006326,10/8/2023,Steglitz,Steglitz-Zehlendorf,medium,52.46714,13.33274,2_room,2,86.6,4,6,post_war_1949_1990,E,seitenflügel,modernisiert,FALSE,FALSE,FALSE,Kottbusser Tor,U1,94,6.26,1004,314,1318,11.59,FALSE,3,1424,2023,10
R006327,7/18/2025,Tempelhof,Tempelhof-Schöneberg,medium,52.45973,13.3932,3_room,3,80.2,6,6,modern_1990_2010,A,vorderhaus,saniert,TRUE,FALSE,FALSE,Adenauerplatz,U7,80,6.38,1170,252,1422,14.59,TRUE,2,1536,2025,7
R006328,3/30/2021,Marzahn,Marzahn-Hellersdorf,low,52.55083,13.55267,1_room,1,34.3,6,8,modern_1990_2010,C,seitenflügel,kernsaniert,TRUE,FALSE,FALSE,Moritzplatz,U8,131,12.44,194,107,301,5.66,FALSE,3,325,2021,3
R006329,5/11/2024,Müggelheim,Treptow-Köpenick,low,52.41899,13.6806,3_room,3,55,3,5,altbau_pre_1949,G,hinterhaus,modernisiert,FALSE,TRUE,FALSE,Karl-Marx-Straße,U7,210,23.2,345,199,543,6.27,FALSE,3,587,2024,5
R006330,11/2/2024,Friedrichshain,Friedrichshain-Kreuzberg,high,52.52197,13.45662,4_room,4,123.7,1,3,altbau_pre_1949,H,seitenflügel,modernisiert,FALSE,FALSE,FALSE,Franz-Neumann-Platz,U8,98,5.38,2203,334,2537,17.82,FALSE,2,2740,2024,11
R006331,7/10/2023,Treptow,Treptow-Köpenick,medium,52.49768,13.45903,4_room,4,95.6,1,4,modern_1990_2010,D,hinterhaus,renoviert,TRUE,FALSE,FALSE,Leinestraße,U8,36,5.88,957,509,1465,10.01,FALSE,3,1583,2023,7
R006332,12/12/2024,Rudow,Neukölln,low,52.41642,13.48445,2_room,2,80.2,2,4,altbau_pre_1949,H,vorderhaus,kernsaniert,FALSE,FALSE,FALSE,Savignyplatz,Stadtbahn,179,13.25,851,280,1131,10.62,TRUE,2,1221,2024,12
R006333,3/7/2020,Pankow (Ort),Pankow,medium,52.56299,13.39837,3_room,3,64.3,5,6,altbau_pre_1949,F,vorderhaus,saniert,FALSE,TRUE,TRUE,Spittelmarkt,U2,80,5.38,576,250,826,8.96,TRUE,2,892,2020,3
R006334,11/13/2025,Wittenau,Reinickendorf,low,52.58936,13.31769,2_room,2,65.5,6,6,altbau_pre_1949,F,seitenflügel,kernsaniert,FALSE,TRUE,FALSE,Wittenau U,U8,0,9.08,594,166,760,9.08,FALSE,2,821,2025,11
R006335,4/11/2025,Lichtenberg (Ort),Lichtenberg,medium,52.51628,13.50155,2_room,2,56.1,0,4,modern_1990_2010,B,vorderhaus,saniert,TRUE,TRUE,FALSE,Landsberger Allee,S Ringbahn,30,8.38,1080,188,1268,19.24,FALSE,2,1370,2025,4
R006336,6/4/2025,Wedding,Mitte,medium,52.54656,13.35148,2_room,2,51.5,5,5,altbau_pre_1949,F,vorderhaus,modernisiert,FALSE,FALSE,FALSE,Wittenau U,U8,67,3.8,876,187,1063,17.01,FALSE,1,1148,2025,6
R006337,12/11/2025,Gropiusstadt,Neukölln,low,52.42186,13.4557,3_room,3,87.8,0,6,post_war_1949_1990,F,vorderhaus,renovierungsbedürftig,FALSE,TRUE,FALSE,Lipschitzallee,U7,0,11.76,690,236,927,7.86,FALSE,3,1001,2025,12
R006338,11/3/2020,Tegel,Reinickendorf,medium,52.5705,13.29925,4_room,4,132.3,2,3,post_war_1949_1990,D,hinterhaus,saniert,FALSE,TRUE,FALSE,Rosenthaler Platz,U8,116,8.03,820,391,1212,6.2,FALSE,2,1309,2020,11
R006339,3/11/2024,Waidmannslust,Reinickendorf,low,52.60994,13.3488,2_room,2,60.9,1,3,altbau_pre_1949,F,seitenflügel,modernisiert,FALSE,TRUE,TRUE,Wittenau U,U8,13,10.59,636,169,806,10.46,TRUE,3,870,2024,3
R006340,8/2/2020,Kaulsdorf,Marzahn-Hellersdorf,low,52.52052,13.59921,1_room,1,33.3,2,3,post_war_1949_1990,B,vorderhaus,modernisiert,FALSE,TRUE,FALSE,Olympia-Stadion,U2,292,15,224,94,318,6.72,FALSE,3,343,2020,8
R006341,11/25/2023,Spandau (Ort),Spandau,low,52.52894,13.19958,2_room,2,72.3,0,3,altbau_pre_1949,E,seitenflügel,renovierungsbedürftig,FALSE,TRUE,FALSE,Altstadt Spandau,U7,8,12.13,884,287,1171,12.23,FALSE,1,1265,2023,11
R006342,11/21/2024,Niederschönhausen,Pankow,medium,52.57224,13.39921,2_room,2,55.8,3,4,modern_1990_2010,B,vorderhaus,renoviert,TRUE,TRUE,FALSE,Moritzplatz,U8,94,6.39,973,143,1116,17.42,FALSE,3,1205,2024,11
R006343,9/12/2021,Moabit,Mitte,medium,52.52884,13.33978,3_room,3,75.4,5,8,new_post_2010,B,seitenflügel,saniert,TRUE,TRUE,FALSE,Beusselstraße,S Ringbahn,9,2.92,1459,226,1685,19.34,FALSE,3,1820,2021,9
R006344,3/11/2022,Gatow,Spandau,medium,52.483,13.1809,1_room,1,26.1,2,4,post_war_1949_1990,F,vorderhaus,saniert,FALSE,FALSE,FALSE,Nollendorfplatz,U1,145,13.83,179,101,281,6.86,TRUE,3,303,2022,3
R006345,6/4/2021,Dahlem,Steglitz-Zehlendorf,high,52.4527,13.28211,3_room,3,73.5,6,6,post_war_1949_1990,E,vorderhaus,saniert,TRUE,TRUE,FALSE,Ostbahnhof,Stadtbahn,145,9.59,980,251,1231,13.33,TRUE,1,1330,2021,6
R006346,5/26/2023,Grünau,Treptow-Köpenick,medium,52.4131,13.54976,1_room,1,36.3,5,6,post_war_1949_1990,C,vorderhaus,renoviert,TRUE,TRUE,FALSE,Wittenbergplatz,U1,223,16.36,356,170,526,9.8,FALSE,3,568,2023,5
R006347,11/9/2022,Falkenhagener Feld,Spandau,low,52.54842,13.19719,2_room,2,62.8,3,6,post_war_1949_1990,D,vorderhaus,kernsaniert,FALSE,FALSE,FALSE,Zehlendorf S,S1,176,12.72,535,321,856,8.53,FALSE,2,925,2022,11
R006348,2/18/2025,Nikolassee,Steglitz-Zehlendorf,high,52.43225,13.20435,5_room_plus,5,211.3,2,6,altbau_pre_1949,E,gartenhaus,modernisiert,FALSE,FALSE,FALSE,Nikolassee,S1,3,15.01,4892,567,5459,23.15,FALSE,2,5895,2025,2
R006349,2/22/2022,Biesdorf,Marzahn-Hellersdorf,low,52.50212,13.54313,2_room,2,55.4,3,6,post_war_1949_1990,E,gartenhaus,renoviert,FALSE,TRUE,FALSE,Storkower Straße,S Ringbahn,67,11.31,365,166,531,6.58,FALSE,3,573,2022,2
R006350,12/9/2022,Neukölln (Ort),Neukölln,medium,52.48811,13.44699,3_room,3,88.3,4,5,post_war_1949_1990,F,vorderhaus,saniert,TRUE,TRUE,FALSE,Rathaus Neukölln,U7,4,5.64,1289,336,1625,14.6,TRUE,2,1755,2022,12
R006351,2/3/2024,Hohenschönhausen,Lichtenberg,low,52.55539,13.52236,2_room,2,59.9,3,4,new_post_2010,B,vorderhaus,modernisiert,TRUE,FALSE,FALSE,Kottbusser Tor,U1,116,10.71,900,198,1098,15.04,TRUE,2,1186,2024,2
R006352,3/6/2025,Köpenick (Ort),Treptow-Köpenick,medium,52.44885,13.57003,1_room,1,24.6,1,3,altbau_pre_1949,E,vorderhaus,modernisiert,FALSE,FALSE,FALSE,Hermannstraße,U8,124,15.03,336,75,412,13.66,FALSE,3,445,2025,3
R006353,8/5/2023,Grünau,Treptow-Köpenick,medium,52.42275,13.57078,3_room,3,86,1,5,post_war_1949_1990,E,vorderhaus,modernisiert,TRUE,TRUE,FALSE,Westhafen,S Ringbahn,250,16.71,931,442,1374,10.82,FALSE,2,1484,2023,8
R006354,2/3/2022,Märkisches Viertel,Reinickendorf,low,52.59518,13.35531,2_room,2,58.1,4,6,post_war_1949_1990,F,vorderhaus,renovierungsbedürftig,TRUE,TRUE,FALSE,Kleistpark,U7,153,8.9,351,204,554,6.04,TRUE,2,599,2022,2
R006355,3/24/2024,Hellersdorf,Marzahn-Hellersdorf,low,52.5373,13.60357,1_room,1,26,6,6,post_war_1949_1990,D,vorderhaus,saniert,FALSE,TRUE,TRUE,Britz-Süd,U7,186,15.46,136,78,213,5.21,FALSE,2,230,2024,3
R006356,12/30/2021,Friedrichshain,Friedrichshain-Kreuzberg,high,52.51896,13.45769,3_room,3,107,3,4,altbau_pre_1949,G,hinterhaus,modernisiert,FALSE,TRUE,FALSE,Warschauer Straße S,Stadtbahn,17,5.42,1949,370,2319,18.22,FALSE,3,2504,2021,12
R006357,10/26/2020,Gropiusstadt,Neukölln,low,52.42395,13.44722,1_room,1,31.6,2,4,modern_1990_2010,E,hinterhaus,modernisiert,TRUE,TRUE,FALSE,Lipschitzallee,U7,2,11.3,269,118,386,8.5,FALSE,2,417,2020,10
R006358,8/30/2025,Lichtenrade,Tempelhof-Schöneberg,low,52.40439,13.41277,2_room,2,54.7,5,6,modern_1990_2010,H,vorderhaus,modernisiert,TRUE,FALSE,TRUE,Brandenburger Tor S,S1,165,12.67,542,183,725,9.92,FALSE,3,783,2025,8
R006359,7/6/2023,Britz,Neukölln,low,52.44035,13.45485,2_room,2,73.5,3,4,post_war_1949_1990,C,hinterhaus,modernisiert,FALSE,FALSE,FALSE,Leinestraße,U8,35,9.93,622,304,926,8.46,FALSE,3,1000,2023,7
R006360,5/9/2020,Zehlendorf,Steglitz-Zehlendorf,high,52.42779,13.26728,1_room,1,35.8,2,5,modern_1990_2010,E,vorderhaus,kernsaniert,FALSE,TRUE,FALSE,Zehlendorf S,S1,1,12.36,594,125,718,16.57,FALSE,2,775,2020,5
R006361,3/1/2020,Lichterfelde,Steglitz-Zehlendorf,medium,52.43497,13.31704,1_room,1,30.1,2,6,altbau_pre_1949,B,vorderhaus,saniert,FALSE,FALSE,TRUE,Mexikoplatz,S1,70,9.93,368,97,465,12.23,FALSE,1,502,2020,3
R006362,3/7/2021,Spandau (Ort),Spandau,low,52.54778,13.19814,2_room,2,34.7,5,5,modern_1990_2010,B,vorderhaus,saniert,TRUE,FALSE,FALSE,Altstadt Spandau,U7,4,12.64,296,121,417,8.53,TRUE,3,450,2021,3
R006363,12/11/2022,Falkenhagener Feld,Spandau,low,52.54296,13.16569,2_room,2,39.8,0,4,altbau_pre_1949,G,vorderhaus,kernsaniert,FALSE,TRUE,FALSE,Richard-Wagner-Platz,U7,106,14.64,265,173,439,6.68,TRUE,3,474,2022,12
R006364,2/24/2023,Mitte (Ort),Mitte,high,52.51077,13.4127,4_room,4,119.9,1,6,altbau_pre_1949,G,seitenflügel,saniert,TRUE,TRUE,FALSE,Senefelderplatz,U2,29,2.45,2851,465,3315,23.78,FALSE,3,3580,2023,2
R006365,10/5/2021,Müggelheim,Treptow-Köpenick,low,52.42116,13.68126,1_room,1,39.5,3,8,post_war_1949_1990,G,hinterhaus,modernisiert,FALSE,FALSE,FALSE,Ernst-Reuter-Platz,U2,320,23.12,286,150,436,7.23,FALSE,2,471,2021,10
R006366,5/24/2024,Tiergarten,Mitte,high,52.51985,13.34844,4_room,4,152.4,4,6,altbau_pre_1949,B,vorderhaus,modernisiert,TRUE,TRUE,TRUE,Kurfürstendamm,U1,25,2.02,3391,563,3953,22.25,FALSE,3,4270,2024,5
R006367,12/4/2025,Nikolassee,Steglitz-Zehlendorf,high,52.43154,13.19377,4_room,4,130.6,1,6,modern_1990_2010,C,vorderhaus,renoviert,TRUE,FALSE,FALSE,Mexikoplatz,S1,35,15.62,3032,413,3445,23.22,FALSE,3,3721,2025,12
R006368,11/27/2024,Plänterwald,Treptow-Köpenick,medium,52.48904,13.4768,2_room,2,63,6,6,post_war_1949_1990,D,vorderhaus,renovierungsbedürftig,TRUE,TRUE,TRUE,Sonnenallee,S Ringbahn,22,7.36,1016,198,1213,16.13,TRUE,3,1310,2024,11
R006369,5/5/2025,Gatow,Spandau,medium,52.47945,13.18478,2_room,2,84.4,3,4,post_war_1949_1990,F,vorderhaus,saniert,FALSE,TRUE,FALSE,Westkreuz,S Ringbahn,90,13.69,799,336,1135,9.48,FALSE,2,1226,2025,5
R006370,12/18/2021,Wilmersdorf,Charlottenburg-Wilmersdorf,high,52.49043,13.3158,2_room,2,82.9,5,6,post_war_1949_1990,G,hinterhaus,renovierungsbedürftig,TRUE,TRUE,TRUE,Konstanzer Straße,U7,11,5.08,1227,247,1473,14.79,FALSE,3,1591,2021,12
R006371,12/11/2022,Tiergarten,Mitte,high,52.51453,13.33177,3_room,3,75.8,5,6,altbau_pre_1949,G,vorderhaus,modernisiert,FALSE,TRUE,FALSE,Kurfürstendamm,U1,25,3.11,1714,393,2106,22.59,TRUE,3,2275,2022,12
R006372,9/7/2025,Waidmannslust,Reinickendorf,low,52.59529,13.34213,2_room,2,65.1,2,6,post_war_1949_1990,H,vorderhaus,kernsaniert,FALSE,FALSE,FALSE,Spittelmarkt,U2,128,9.11,535,243,778,8.23,TRUE,3,840,2025,9
R006373,5/7/2025,Halensee,Charlottenburg-Wilmersdorf,high,52.4934,13.30104,2_room,2,49.3,2,4,new_post_2010,B,vorderhaus,kernsaniert,FALSE,TRUE,FALSE,Richard-Wagner-Platz,U7,41,5.78,1090,188,1278,22.11,TRUE,3,1380,2025,5
R006374,3/2/2024,Charlottenburg-Nord,Charlottenburg-Wilmersdorf,medium,52.53193,13.30123,3_room,3,83.3,0,6,post_war_1949_1990,D,vorderhaus,modernisiert,FALSE,TRUE,TRUE,Anhalter Bahnhof,S1,87,5.46,1370,231,1601,16.46,FALSE,3,1730,2024,3
R006375,10/10/2024,Biesdorf,Marzahn-Hellersdorf,low,52.51321,13.55672,4_room,4,81.4,0,4,post_war_1949_1990,F,vorderhaus,saniert,FALSE,TRUE,FALSE,Wannsee,S1,334,12.12,522,306,827,6.41,FALSE,3,893,2024,10
R006376,5/7/2020,Staaken,Spandau,low,52.5385,13.12068,1_room,1,40.9,0,5,post_war_1949_1990,F,seitenflügel,renovierungsbedürftig,TRUE,TRUE,FALSE,Rathaus Spandau,U7,47,17.56,202,145,346,4.93,TRUE,3,374,2020,5
R006377,5/10/2020,Dahlem,Steglitz-Zehlendorf,high,52.45058,13.27977,4_room,4,114.2,1,5,modern_1990_2010,D,vorderhaus,saniert,FALSE,TRUE,FALSE,Voltastraße,U8,145,9.87,2484,442,2926,21.75,TRUE,3,3160,2020,5
R006378,2/24/2022,Moabit,Mitte,medium,52.53373,13.34817,2_room,2,57.7,2,5,post_war_1949_1990,B,vorderhaus,kernsaniert,FALSE,FALSE,FALSE,Tiergarten S,Stadtbahn,27,2.78,645,199,844,11.18,FALSE,3,912,2022,2
R006379,11/12/2025,Buch,Pankow,low,52.63707,13.48268,3_room,3,71.7,0,4,altbau_pre_1949,G,vorderhaus,kernsaniert,FALSE,TRUE,FALSE,Gneisenaustraße,U7,213,15.19,819,232,1051,11.42,TRUE,3,1135,2025,11
R006380,9/8/2024,Waidmannslust,Reinickendorf,low,52.59534,13.3509,4_room,4,168.9,3,4,post_war_1949_1990,D,vorderhaus,modernisiert,FALSE,TRUE,FALSE,Lindauer Allee,U8,23,8.97,1834,467,2301,10.86,FALSE,1,2485,2024,9
R006381,8/22/2022,Märkisches Viertel,Reinickendorf,low,52.60715,13.35276,2_room,2,67.3,2,4,post_war_1949_1990,E,seitenflügel,kernsaniert,TRUE,FALSE,FALSE,Nollendorfplatz,U1,135,10.24,512,337,848,7.6,TRUE,3,916,2022,8
R006382,5/6/2021,Wilmersdorf,Charlottenburg-Wilmersdorf,high,52.47946,13.31625,2_room,2,57.2,4,5,altbau_pre_1949,D,hinterhaus,kernsaniert,FALSE,TRUE,FALSE,Fehrbelliner Platz,U7,7,5.84,1051,172,1223,18.37,FALSE,2,1321,2021,5
R006383,9/27/2022,Spandau (Ort),Spandau,low,52.55156,13.20988,2_room,2,58.4,0,3,modern_1990_2010,B,seitenflügel,kernsaniert,TRUE,FALSE,FALSE,Rathaus Spandau,U7,6,12.01,530,268,798,9.07,TRUE,3,861,2022,9
R006384,8/15/2023,Karlshorst,Lichtenberg,medium,52.49146,13.53241,3_room,3,110.5,6,8,modern_1990_2010,E,seitenflügel,kernsaniert,TRUE,TRUE,FALSE,Lipschitzallee,U7,90,10.83,1183,499,1682,10.71,FALSE,2,1816,2023,8
R006385,9/25/2020,Grünau,Treptow-Köpenick,medium,52.40032,13.54562,3_room,3,69,0,8,post_war_1949_1990,G,vorderhaus,kernsaniert,FALSE,FALSE,FALSE,Neukölln,U7,130,17.2,523,199,722,7.58,FALSE,3,780,2020,9
R006386,7/16/2022,Grunewald,Charlottenburg-Wilmersdorf,high,52.49136,13.25029,2_room,2,59.8,0,3,post_war_1949_1990,H,hinterhaus,kernsaniert,FALSE,TRUE,TRUE,Ruhleben,U2,54,9.06,621,312,933,10.38,TRUE,2,1007,2022,7
R006387,7/25/2020,Märkisches Viertel,Reinickendorf,low,52.60368,13.36211,4_room,4,141.7,2,5,post_war_1949_1990,F,gartenhaus,modernisiert,TRUE,TRUE,FALSE,Westhafen,S Ringbahn,90,9.77,593,426,1020,4.19,TRUE,3,1101,2020,7
R006388,7/11/2022,Lankwitz,Steglitz-Zehlendorf,medium,52.44018,13.35525,2_room,2,68.8,2,5,post_war_1949_1990,F,vorderhaus,kernsaniert,FALSE,FALSE,FALSE,Frankfurter Allee,S Ringbahn,152,8.6,604,268,872,8.78,FALSE,3,942,2022,7
R006389,12/20/2023,Wannsee,Steglitz-Zehlendorf,high,52.41754,13.16292,3_room,3,92.9,0,6,altbau_pre_1949,C,vorderhaus,saniert,TRUE,TRUE,FALSE,Wannsee,S1,0,18.23,2528,327,2855,27.21,TRUE,2,3083,2023,12
R006390,4/3/2025,Reinickendorf (Ort),Reinickendorf,low,52.55887,13.34232,1_room,1,44.3,2,3,post_war_1949_1990,D,vorderhaus,renovierungsbedürftig,FALSE,TRUE,FALSE,Jungfernheide U,U7,54,5.3,421,130,551,9.51,TRUE,3,595,2025,4
R006391,5/17/2025,Treptow,Treptow-Köpenick,medium,52.5016,13.46147,1_room,1,28.8,0,3,post_war_1949_1990,E,vorderhaus,modernisiert,FALSE,TRUE,TRUE,Südkreuz,S Ringbahn,82,5.9,366,103,469,12.72,FALSE,2,507,2025,5
R006392,10/24/2024,Tegel,Reinickendorf,medium,52.58327,13.29329,1_room,1,47.8,0,4,post_war_1949_1990,D,seitenflügel,kernsaniert,TRUE,TRUE,FALSE,Bellevue,Stadtbahn,98,9.38,517,179,696,10.82,TRUE,2,752,2024,10
R006393,6/28/2021,Märkisches Viertel,Reinickendorf,low,52.5949,13.36195,3_room,3,86,1,5,post_war_1949_1990,E,vorderhaus,kernsaniert,FALSE,TRUE,FALSE,Prenzlauer Allee S,S Ringbahn,103,8.8,529,295,824,6.15,FALSE,2,890,2021,6
R006394,6/27/2025,Falkenberg,Lichtenberg,low,52.58061,13.53723,2_room,2,59.5,6,8,post_war_1949_1990,F,vorderhaus,renoviert,FALSE,FALSE,TRUE,Mohrenstraße,U2,159,12.94,324,181,505,5.45,TRUE,2,546,2025,6
R006395,6/26/2022,Friedrichshain,Friedrichshain-Kreuzberg,high,52.50232,13.46916,3_room,3,71.2,5,5,altbau_pre_1949,G,vorderhaus,kernsaniert,FALSE,FALSE,TRUE,Ernst-Reuter-Platz,U2,110,6.38,1434,214,1648,20.15,TRUE,1,1780,2022,6
R006396,6/8/2022,Buch,Pankow,low,52.63535,13.49058,1_room,1,20.7,2,5,post_war_1949_1990,B,seitenflügel,modernisiert,FALSE,TRUE,TRUE,Parchimer Allee,U7,262,15.28,159,65,224,7.69,FALSE,3,241,2022,6
R006397,12/28/2024,Staaken,Spandau,low,52.54606,13.14376,2_room,2,53.2,3,5,post_war_1949_1990,E,seitenflügel,renovierungsbedürftig,FALSE,TRUE,FALSE,Ruhleben,U2,79,16.17,404,181,585,7.6,FALSE,3,632,2024,12
R006398,3/27/2025,Tegel,Reinickendorf,medium,52.57412,13.27515,5_room_plus,5,189.3,4,4,altbau_pre_1949,G,vorderhaus,saniert,FALSE,FALSE,FALSE,Rathaus Reinickendorf,U8,39,9.46,2112,731,2843,11.16,FALSE,2,3070,2025,3
R006399,4/26/2020,Konradshöhe,Reinickendorf,medium,52.61155,13.22477,1_room,1,33.8,6,6,altbau_pre_1949,D,hinterhaus,modernisiert,FALSE,TRUE,FALSE,Halemweg,U7,94,14.8,275,131,406,8.13,FALSE,3,438,2020,4
R006400,12/12/2020,Wilmersdorf,Charlottenburg-Wilmersdorf,high,52.48872,13.32495,4_room,4,87.1,1,4,post_war_1949_1990,D,vorderhaus,kernsaniert,TRUE,FALSE,FALSE,Berliner Straße,U7,13,4.71,1608,279,1887,18.46,FALSE,1,2038,2020,12
R006401,2/22/2023,Nikolassee,Steglitz-Zehlendorf,high,52.4325,13.20429,3_room,3,80.2,3,5,altbau_pre_1949,D,vorderhaus,modernisiert,TRUE,TRUE,FALSE,Nikolassee,S1,0,14.99,1760,368,2128,21.94,FALSE,3,2298,2023,2
R006402,4/18/2024,Wedding,Mitte,medium,52.557,13.36002,3_room,3,124.5,2,3,modern_1990_2010,E,seitenflügel,renovierungsbedürftig,TRUE,TRUE,FALSE,Stadtmitte,U2,60,4.68,1935,409,2344,15.54,TRUE,3,2531,2024,4
R006403,9/20/2021,Friedrichshagen,Treptow-Köpenick,medium,52.44689,13.64115,1_room,1,38.9,3,5,post_war_1949_1990,F,vorderhaus,renovierungsbedürftig,TRUE,TRUE,FALSE,Altstadt Spandau,U7,360,19.44,408,132,541,10.5,FALSE,3,584,2021,9
R006404,3/24/2026,Dahlem,Steglitz-Zehlendorf,high,52.45485,13.27597,3_room,3,89,4,6,new_post_2010,A,seitenflügel,saniert,FALSE,TRUE,FALSE,Friedenau S,S1,44,9.7,3200,241,3441,35.95,FALSE,2,3717,2026,3
R006405,12/19/2023,Treptow,Treptow-Köpenick,medium,52.4853,13.46194,4_room,4,143.8,5,5,altbau_pre_1949,F,seitenflügel,modernisiert,FALSE,TRUE,FALSE,Neukölln S,S Ringbahn,42,6.66,1765,558,2322,12.28,FALSE,3,2508,2023,12
R006406,6/25/2024,Heiligensee,Reinickendorf,medium,52.61867,13.25426,1_room,1,49.7,6,8,new_post_2010,A,vorderhaus,renoviert,TRUE,TRUE,FALSE,Mohrenstraße,U2,191,14.11,740,170,909,14.87,FALSE,2,982,2024,6
R006407,12/21/2021,Kreuzberg,Friedrichshain-Kreuzberg,high,52.49342,13.39678,1_room,1,39.9,0,5,post_war_1949_1990,G,seitenflügel,kernsaniert,FALSE,FALSE,TRUE,Prinzenstraße,U1,7,2.85,601,153,754,15.07,FALSE,3,815,2021,12
R006408,12/26/2022,Märkisches Viertel,Reinickendorf,low,52.61024,13.35738,2_room,2,27.4,3,4,post_war_1949_1990,C,vorderhaus,renoviert,TRUE,TRUE,FALSE,Möckernbrücke,U1,138,10.54,261,108,369,9.55,FALSE,3,398,2022,12
R006409,4/29/2026,Tempelhof,Tempelhof-Schöneberg,medium,52.46551,13.38248,2_room,2,73.5,3,6,post_war_1949_1990,B,vorderhaus,modernisiert,TRUE,FALSE,FALSE,Gleisdreieck,U1,50,5.66,906,241,1147,12.34,FALSE,1,1239,2026,4
R006410,10/5/2021,Marienfelde,Tempelhof-Schöneberg,low,52.40881,13.36087,1_room,1,41.8,5,5,altbau_pre_1949,F,hinterhaus,renovierungsbedürftig,FALSE,TRUE,FALSE,Berliner Straße,U7,106,12.01,407,167,573,9.73,FALSE,3,619,2021,10
R006411,10/10/2024,Moabit,Mitte,medium,52.51832,13.32829,2_room,2,63.9,4,8,altbau_pre_1949,E,seitenflügel,renoviert,TRUE,TRUE,TRUE,Bernauer Straße,U8,47,3.35,1135,241,1376,17.76,TRUE,3,1486,2024,10
R006412,9/21/2020,Konradshöhe,Reinickendorf,medium,52.60903,13.21196,2_room,2,44.1,0,3,post_war_1949_1990,F,vorderhaus,renovierungsbedürftig,FALSE,TRUE,FALSE,Kleistpark,U7,190,15.23,253,136,389,5.75,TRUE,3,421,2020,9
R006413,8/21/2023,Kreuzberg,Friedrichshain-Kreuzberg,high,52.49898,13.40781,2_room,2,52.3,1,5,modern_1990_2010,C,seitenflügel,renoviert,TRUE,FALSE,FALSE,Görlitzer Bahnhof,U1,25,2.8,1229,229,1458,23.49,TRUE,2,1575,2023,8
R006414,11/9/2022,Lichtenberg (Ort),Lichtenberg,medium,52.51401,13.50616,4_room,4,132.9,2,6,new_post_2010,B,hinterhaus,renovierungsbedürftig,TRUE,TRUE,FALSE,Ostkreuz,S Ringbahn,29,8.7,1799,521,2319,13.53,FALSE,3,2505,2022,11
R006415,1/2/2024,Falkenhagener Feld,Spandau,low,52.54433,13.19309,3_room,3,100.3,3,4,modern_1990_2010,D,vorderhaus,saniert,TRUE,TRUE,FALSE,Westhafen,S Ringbahn,135,12.87,780,257,1037,7.77,FALSE,1,1120,2024,1
